Flow.ID,Source.IP,Source.Port,Destination.IP,Destination.Port,Protocol,Timestamp,Flow.Duration,Total.Fwd.Packets,Total.Backward.Packets,Total.Length.of.Fwd.Packets,Total.Length.of.Bwd.Packets,Fwd.Packet.Length.Max,Fwd.Packet.Length.Min,Fwd.Packet.Length.Mean,Fwd.Packet.Length.Std,Bwd.Packet.Length.Max,Bwd.Packet.Length.Min,Bwd.Packet.Length.Mean,Bwd.Packet.Length.Std,Flow.Bytes.s,Flow.Packets.s,Flow.IAT.Mean,Flow.IAT.Std,Flow.IAT.Max,Flow.IAT.Min,Fwd.IAT.Total,Fwd.IAT.Mean,Fwd.IAT.Std,Fwd.IAT.Max,Fwd.IAT.Min,Bwd.IAT.Total,Bwd.IAT.Mean,Bwd.IAT.Std,Bwd.IAT.Max,Bwd.IAT.Min,Fwd.PSH.Flags,Bwd.PSH.Flags,Fwd.URG.Flags,Bwd.URG.Flags,Fwd.Header.Length,Bwd.Header.Length,Fwd.Packets.s,Bwd.Packets.s,Min.Packet.Length,Max.Packet.Length,Packet.Length.Mean,Packet.Length.Std,Packet.Length.Variance,FIN.Flag.Count,SYN.Flag.Count,RST.Flag.Count,PSH.Flag.Count,ACK.Flag.Count,URG.Flag.Count,CWE.Flag.Count,ECE.Flag.Count,Down.Up.Ratio,Average.Packet.Size,Avg.Fwd.Segment.Size,Avg.Bwd.Segment.Size,Fwd.Header.Length.1,Fwd.Avg.Bytes.Bulk,Fwd.Avg.Packets.Bulk,Fwd.Avg.Bulk.Rate,Bwd.Avg.Bytes.Bulk,Bwd.Avg.Packets.Bulk,Bwd.Avg.Bulk.Rate,Subflow.Fwd.Packets,Subflow.Fwd.Bytes,Subflow.Bwd.Packets,Subflow.Bwd.Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active.Mean,Active.Std,Active.Max,Active.Min,Idle.Mean,Idle.Std,Idle.Max,Idle.Min,Label,L7Protocol,ProtocolName
172.19.1.46-10.200.7.7-52422-3128-6,172.19.1.46,52422,10.200.7.7,3128,6,26/04/201711:11:17,45523,22,55,132,110414,6,6,6,0,4380,1187,2007.527273,768.4816886,2428354.898,1691.452672,598.9868421,816.0613456,3880,1,45523,2167.761905,1319.384512,5988,698,41178,762.5555556,1230.34822,5133,1,0,0,0,0,440,1100,483.2721921,1208.18048,6,4380,1417.333333,1121.579194,1257939.887,0,0,0,0,1,0,0,0,2,1435.74026,6,2007.527273,440,0,0,0,0,0,0,22,132,55,110414,256,490,21,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
172.19.1.46-10.200.7.7-52422-3128-6,10.200.7.7,3128,172.19.1.46,52422,6,26/04/201711:11:17,1,2,0,12,0,6,6,6,0,0,0,0,0,1.20E+07,2.00E+06,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2.00E+06,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,490,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,1,3,0,674,0,337,0,224.6666667,194.5670407,0,0,0,0,6.74E+08,3.00E+06,0.5,0.707106781,1,0,1,0.5,0.707106781,1,0,0,0,0,0,0,1,0,0,0,96,0,3.00E+06,0,0,337,252.75,168.5,28392.25,0,1,0,0,1,0,0,0,0,337,224.6666667,0,96,0,0,0,0,0,0,3,674,0,0,888,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
10.200.7.217-50.31.185.39-38848-80-6,50.31.185.39,80,10.200.7.217,38848,6,26/04/201711:11:17,217,1,3,0,0,0,0,0,0,0,0,0,0,0,18433.17972,72.33333333,62.66046069,110,0,0,0,0,0,0,107,53.5,75.66042559,107,0,0,0,0,0,32,96,4608.294931,13824.88479,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,32,0,0,0,0,0,0,1,0,3,0,888,490,0,32,0,0,0,0,0,0,0,0,BENIGN,7,HTTP
192.168.72.43-10.200.7.7-55961-3128-6,192.168.72.43,55961,10.200.7.7,3128,6,26/04/201711:11:17,78068,5,0,1076,0,529,6,215.2,286.4588976,0,0,0,0,13782.85597,64.04672849,19517,25758.50235,54313,0,78068,19517,25758.50235,54313,0,0,0,0,0,0,1,0,0,0,100,0,64.04672849,0,6,529,267.5,286.4588976,82058.7,0,1,0,0,1,0,0,0,0,321,215.2,0,100,0,0,0,0,0,0,5,1076,0,0,253,-1,4,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
172.19.1.56-10.200.7.6-50004-3128-6,10.200.7.6,3128,172.19.1.56,50004,6,26/04/201711:11:17,105069,136,0,313554,0,5840,6,2305.544118,1220.822406,0,0,0,0,2984267.481,1294.387498,778.2888889,4540.424367,51842,0,105069,778.2888889,4540.424367,51842,0,0,0,0,0,0,0,0,0,0,2720,0,1294.387498,0,6,5840,2299.372263,1218.46914,1484667.044,0,0,0,0,1,0,0,0,0,2316.279412,2305.544118,0,2720,0,0,0,0,0,0,136,313554,0,0,254,-1,135,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.72.43-10.200.7.7-55963-3128-6,192.168.72.43,55963,10.200.7.7,3128,6,26/04/201711:11:17,104443,5,0,1076,0,529,6,215.2,286.4588976,0,0,0,0,10302.27014,47.8730025,26110.75,31559.20615,63644,0,104443,26110.75,31559.20615,63644,0,0,0,0,0,0,1,0,0,0,100,0,47.8730025,0,6,529,267.5,286.4588976,82058.7,0,1,0,0,1,0,0,0,0,321,215.2,0,100,0,0,0,0,0,0,5,1076,0,0,253,-1,4,20,0,0,0,0,0,0,0,0,BENIGN,131,HTTP_PROXY
192.168.10.47-10.200.7.6-51848-3128-6,192.168.10.47,51848,10.200.7.6,3128,6,26/04/201711:11:17,11002,3,12,232,3664,226,0,77.33333333,128.784057,3628,0,305.3333333,1046.372898,354117.4332,1363.388475,785.8571429,2099.118418,7865,0,10012,5006,4043.236575,7865,2147,10788,980.7272727,2880.864908,9625,0,0,0,0,0,72,300,272.677695,1090.71078,0,3628,243.5,904.2505552,817669.0667,0,0,0,1,0,0,0,0,4,259.7333333,77.33333333,305.3333333,72,0,0,0,0,0,0,3,232,12,3664,8192,245,2,20,0,0,0,0,0,0,0,0,BENIGN,130,HTTP_CONNECT
10.200.7.217-68.67.178.197-57300-443-6,68.67.178.197,443,10.200.7.217,57300,6,26/04/201711:11:17,108503,10,6,6904,1302,1448,0,690.4,660.894209,1302,0,217,531.5392742,75629.24527,147.4613605,7233.533333,22428.90379,87416,0,98566,10951.77778,32194.05612,96790,0,99128,19825.6,39101.31134,89362,0,1,0,0,0,320,216,92.16335032,55.29801019,0,1448,497.8823529,624.762143,390327.7353,0,1,0,0,1,0,0,0,0,529,690.4,217,320,0,0,0,0,0,0,10,6904,6,1302,60,1000,7,32,0,0,0,0,0,0,0,0,BENIGN,91,SSL
192.168.72.43-10.200.7.7-55977-3128-6,192.168.72.43,55977,10.200.7.7,3128,6,26/04/201711:11:17,118415,7,0,2210,0,1096,0,315.7142857,533.0433736,0,0,0,0,18663.17612,59.1141325,19735.83333,46768.32453,115185,1,118415,19735.83333,46768.32453,115185,1,0,0,0,0,0,0,0,0,0,164,0,59.1141325,0,0,1096,276.25,505.9683079,256003.9286,0,0,0,1,0,0,0,0,0,315.7142857,315.7142857,0,164,0,0,0,0,0,0,7,2210,0,0,8192,-1,5,20,0,0,0,0,0,0,0,0,BENIGN,126,GOOGLE
